Category ID,Category,Cookie,Host,Set by,Duration,Days,Purpose / notes,Evidence,Observed expiry
C0004,Targeting Cookies,bcookie,linkedin.com,LinkedIn,364 days,364,LinkedIn browser identifier.,OneTrust declared,
C0004,Targeting Cookies,li_sugr,linkedin.com,LinkedIn,89 days,89,LinkedIn advertising matching.,OneTrust declared,
C0004,Targeting Cookies,lidc,linkedin.com,LinkedIn,Session,0,LinkedIn routing/session support.,OneTrust declared,
C0004,Targeting Cookies,UserMatchHistory,linkedin.com,LinkedIn,29 days,29,LinkedIn Ads matching and measurement.,OneTrust declared,
C0004,Targeting Cookies,visitor_id,pardot.com,Salesforce Pardot,3649 days,3649,Salesforce Pardot visitor identification.,OneTrust declared,
C0004,Targeting Cookies,visitor_id#####,pardot.com,Salesforce Pardot,3649 days,3649,Salesforce Pardot visitor identification.,OneTrust declared,
C0004,Targeting Cookies,lpv413792,pi.pardot.com,Salesforce Pardot,Session,0,Salesforce Pardot landing-page/form activity tracking.,OneTrust declared,
C0004,Targeting Cookies,pardot,pi.pardot.com,Salesforce Pardot,Session,0,Salesforce Pardot session/form tracking.,OneTrust declared,
C0004,Targeting Cookies,_fbp,rategain.com,Meta,89 days,89,Meta advertising measurement.,OneTrust declared,
C0004,Targeting Cookies,_gat_UA-XXXXXX-X,rategain.com,Google Analytics,Session,0,Google Analytics visitor/session measurement.,OneTrust declared,
C0004,Targeting Cookies,_gcl_au,rategain.com,Google Ads,89 days,89,Google Ads conversion/linker measurement.,OneTrust declared,
C0004,Targeting Cookies,_lfa,rategain.com,Leadfeeder / Dealfront,364 days,364,Leadfeeder / Dealfront B2B visitor-organization identification.,OneTrust declared,
C0004,Targeting Cookies,_lfa_test_cookie_stored,rategain.com,Leadfeeder / Dealfront,Session,0,Leadfeeder / Dealfront test cookie for whether the _lfa cookie can be stored.,OneTrust declared,
C0004,Targeting Cookies,_uetsid,rategain.com,Microsoft Advertising,Session,0,Microsoft Advertising/Bing event tracking.,OneTrust declared,
C0004,Targeting Cookies,ajs_group_id,rategain.com,Segment-style analytics,364 days,364,Segment-style analytics identifier/local domain support as declared in OneTrust.,OneTrust declared,
C0004,Targeting Cookies,ajs_user_id,rategain.com,Segment-style analytics,364 days,364,Segment-style analytics identifier/local domain support as declared in OneTrust.,OneTrust declared,
C0004,Targeting Cookies,drift_aid,rategain.com,Drift,729 days,729,Drift chat/marketing identifier as declared in OneTrust.,OneTrust declared,
C0004,Targeting Cookies,drift_campaign_refresh,rategain.com,Drift,Session,0,Drift session/campaign-refresh cookie as declared in OneTrust.,OneTrust declared,
C0004,Targeting Cookies,driftt_aid,rategain.com,Drift,729 days,729,Drift chat/marketing identifier as declared in OneTrust.,OneTrust declared,
C0004,Targeting Cookies,visitor_id#####,rategain.com,Salesforce Pardot,3649 days,3649,Salesforce Pardot visitor identification.,OneTrust declared,
C0004,Targeting Cookies,pardot,ww2.rategain.com,Salesforce Pardot,Session,0,Salesforce Pardot session/form tracking.,OneTrust declared,
C0004,Targeting Cookies,visitor_id,ww2.rategain.com,Salesforce Pardot,3649 days,3649,Salesforce Pardot visitor identification.,OneTrust declared,
C0004,Targeting Cookies,TESTCOOKIESENABLED,www.youtube.com,YouTube,Session,0,YouTube cookie-support test.,OneTrust declared,
C0004,Targeting Cookies,VISITOR_INFO1_LIVE,youtube.com,YouTube,179 days,179,YouTube embedded-video preferences/measurement.,OneTrust declared,
C0004,Targeting Cookies,VISITOR_PRIVACY_METADATA,youtube.com,YouTube,179 days,179,YouTube privacy/consent metadata.,OneTrust declared,
C0004,Targeting Cookies,YSC,youtube.com,YouTube,Session,0,YouTube embedded-video session cookie.,OneTrust declared,
C0004,Targeting Cookies,__cf_bm,zoominfo.com,Cloudflare,Session,0,Cloudflare bot-management cookie on third-party resources.,OneTrust declared,
C0004,Targeting Cookies,_cfuvid,zoominfo.com,Cloudflare,Session,0,Cloudflare visitor/session identifier on third-party resources.,OneTrust declared,
Observed,Observed after Accept All - not in OneTrust declaration,MR,.bat.bing.com,Microsoft Advertising / Bing,"Observed persistent, expires 2026-08-23",,Observed after consent; purpose not declared in OneTrust.,Live browser observed after Accept All,"Observed persistent, expires 2026-08-23"
Observed,Observed after Accept All - not in OneTrust declaration,__cf_bm,.linkedin.com,Cloudflare,"Observed persistent, expires 2026-08-16",,Cloudflare bot-management cookie on third-party resources.,Live browser observed after Accept All,"Observed persistent, expires 2026-08-16"
Observed,Observed after Accept All - not in OneTrust declaration,pi,.ml314.com,Bombora / ml314,"Observed persistent, expires 2027-08-16",,Bombora / ml314 third-party tracking identifier observed after consent.,Live browser observed after Accept All,"Observed persistent, expires 2027-08-16"
Observed,Observed after Accept All - not in OneTrust declaration,_fuid,.rategain.com,RateGain / site scripts,"Observed persistent, expires 2027-09-20",,Marketing/analytics identifier observed after consent; not declared in OneTrust.,Live browser observed after Accept All,"Observed persistent, expires 2027-09-20"
Observed,Observed after Accept All - not in OneTrust declaration,_hjSession_1935520,.rategain.com,Hotjar,"Observed persistent, expires 2026-08-16",,Hotjar session/visitor analytics.,Live browser observed after Accept All,"Observed persistent, expires 2026-08-16"
Observed,Observed after Accept All - not in OneTrust declaration,_hjSessionUser_1935520,.rategain.com,Hotjar,"Observed persistent, expires 2027-08-16",,Hotjar session/visitor analytics.,Live browser observed after Accept All,"Observed persistent, expires 2027-08-16"
Observed,Observed after Accept All - not in OneTrust declaration,bscookie,.www.linkedin.com,LinkedIn,"Observed persistent, expires 2027-08-16",,LinkedIn secure browser identifier.,Live browser observed after Accept All,"Observed persistent, expires 2027-08-16"
